symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal,signal_price
ETHEREUM,"May 6, 2024, 2:58:00 AM",3142.87,3142.46,3142.87,3141.715,3171.0,5,2024-05-06 02:58:00,46.37366170644612,HOLD,
ETHEREUM,"May 6, 2024, 2:59:00 AM",3142.405,3142.47,3143.095,3142.355,3441.0,5,2024-05-06 02:59:00,46.42030721940494,HOLD,
ETHEREUM,"May 6, 2024, 3:00:00 AM",3142.53,3143.685,3143.685,3142.165,3189.0,5,2024-05-06 03:00:00,52.00036421530516,HOLD,
ETHEREUM,"May 6, 2024, 3:01:00 AM",3143.625,3143.275,3143.67,3142.35,3233.0,5,2024-05-06 03:01:00,50.06495626418849,HOLD,
ETHEREUM,"May 6, 2024, 3:02:00 AM",3143.25,3143.275,3145.29,3143.215,3213.0,5,2024-05-06 03:02:00,50.06495626418849,HOLD,
ETHEREUM,"May 6, 2024, 3:03:00 AM",3143.27,3145.25,3145.495,3143.27,2639.0,5,2024-05-06 03:03:00,58.96663442622186,HOLD,
ETHEREUM,"May 6, 2024, 3:04:00 AM",3145.31,3142.455,3145.515,3142.335,3749.0,5,2024-05-06 03:04:00,46.15758435570099,HOLD,
ETHEREUM,"May 6, 2024, 3:05:00 AM",3142.5,3148.205,3148.21,3142.3,3052.0,5,2024-05-06 03:05:00,63.90229417183539,HOLD,
ETHEREUM,"May 6, 2024, 3:06:00 AM",3148.05,3148.645,3148.745,3147.16,3176.0,5,2024-05-06 03:06:00,64.87665049425257,HOLD,
ETHEREUM,"May 6, 2024, 3:07:00 AM",3148.515,3147.885,3148.825,3147.51,3011.0,5,2024-05-06 03:07:00,61.711752709825646,HOLD,
ETHEREUM,"May 6, 2024, 3:08:00 AM",3147.885,3149.24,3149.44,3147.79,3329.0,5,2024-05-06 03:08:00,65.05504356306949,HOLD,
ETHEREUM,"May 6, 2024, 3:09:00 AM",3149.255,3150.005,3150.435,3148.485,3046.0,5,2024-05-06 03:09:00,66.85256244132724,HOLD,
ETHEREUM,"May 6, 2024, 3:10:00 AM",3149.995,3147.17,3150.175,3147.17,3038.0,5,2024-05-06 03:10:00,55.264308353349236,HOLD,
ETHEREUM,"May 6, 2024, 3:11:00 AM",3147.255,3149.005,3149.31,3146.92,3355.0,5,2024-05-06 03:11:00,60.17891466436165,HOLD,
ETHEREUM,"May 6, 2024, 3:12:00 AM",3149.065,3151.08,3151.21,3149.065,3459.0,5,2024-05-06 03:12:00,64.9662701001502,HOLD,
ETHEREUM,"May 6, 2024, 3:13:00 AM",3150.98,3152.955,3152.955,3149.85,3347.0,5,2024-05-06 03:13:00,68.70584061129999,HOLD,
ETHEREUM,"May 6, 2024, 3:14:00 AM",3153.02,3152.555,3153.02,3152.125,3296.0,5,2024-05-06 03:14:00,67.02689791450919,HOLD,
ETHEREUM,"May 6, 2024, 3:15:00 AM",3152.525,3152.485,3152.92,3151.135,2988.0,5,2024-05-06 03:15:00,66.71307553397216,HOLD,
ETHEREUM,"May 6, 2024, 3:16:00 AM",3152.625,3154.895,3156.835,3152.625,3242.0,5,2024-05-06 03:16:00,71.7264174153594,HOLD,
ETHEREUM,"May 6, 2024, 3:17:00 AM",3155.135,3155.675,3155.88,3154.305,3267.0,5,2024-05-06 03:17:00,73.16528517367871,HOLD,
ETHEREUM,"May 6, 2024, 3:18:00 AM",3155.735,3158.275,3158.815,3155.735,3353.0,5,2024-05-06 03:18:00,77.38520438519808,SELL,3158.055
ETHEREUM,"May 6, 2024, 3:19:00 AM",3158.055,3157.565,3158.455,3157.4,3353.0,5,2024-05-06 03:19:00,73.89462370887057,HOLD,
ETHEREUM,"May 6, 2024, 3:20:00 AM",3157.535,3158.625,3159.275,3157.47,3221.0,5,2024-05-06 03:20:00,75.69504742808965,SELL,3158.78
ETHEREUM,"May 6, 2024, 3:21:00 AM",3158.78,3158.04,3160.205,3157.995,3235.0,5,2024-05-06 03:21:00,72.65316790220194,HOLD,
ETHEREUM,"May 6, 2024, 3:22:00 AM",3158.045,3158.94,3159.59,3157.745,3307.0,5,2024-05-06 03:22:00,74.39452075432385,HOLD,
ETHEREUM,"May 6, 2024, 3:23:00 AM",3158.835,3157.59,3159.24,3157.59,3237.0,5,2024-05-06 03:23:00,67.32131499167299,HOLD,
ETHEREUM,"May 6, 2024, 3:24:00 AM",3157.5,3152.23,3157.5,3151.065,3271.0,5,2024-05-06 03:24:00,47.568837159755326,HOLD,
ETHEREUM,"May 6, 2024, 3:25:00 AM",3152.125,3150.83,3152.26,3149.975,3105.0,5,2024-05-06 03:25:00,43.870570629735646,HOLD,
ETHEREUM,"May 6, 2024, 3:26:00 AM",3150.805,3151.98,3151.98,3150.625,3208.0,5,2024-05-06 03:26:00,47.55477818201237,HOLD,
ETHEREUM,"May 6, 2024, 3:27:00 AM",3151.975,3149.265,3151.975,3148.935,3344.0,5,2024-05-06 03:27:00,40.629194892942614,HOLD,
ETHEREUM,"May 6, 2024, 3:28:00 AM",3149.2,3150.455,3150.455,3148.305,3303.0,5,2024-05-06 03:28:00,44.524430891651186,HOLD,
ETHEREUM,"May 6, 2024, 3:29:00 AM",3150.44,3148.535,3150.44,3148.035,3207.0,5,2024-05-06 03:29:00,39.880666307356066,HOLD,
ETHEREUM,"May 6, 2024, 3:30:00 AM",3148.5,3145.81,3148.565,3144.47,2899.0,5,2024-05-06 03:30:00,34.29626514148939,HOLD,
ETHEREUM,"May 6, 2024, 3:31:00 AM",3145.8,3145.85,3147.385,3145.025,2942.0,5,2024-05-06 03:31:00,34.444486093902974,HOLD,
ETHEREUM,"May 6, 2024, 3:32:00 AM",3145.875,3143.855,3146.01,3143.855,3109.0,5,2024-05-06 03:32:00,30.65098998958811,HOLD,
ETHEREUM,"May 6, 2024, 3:33:00 AM",3143.825,3139.79,3143.825,3138.455,3071.0,5,2024-05-06 03:33:00,24.582772588409185,BUY,3152.56
ETHEREUM,"May 6, 2024, 3:34:00 AM",3139.96,3139.915,3139.96,3138.46,3219.0,5,2024-05-06 03:34:00,25.0844571129278,HOLD,
ETHEREUM,"May 6, 2024, 3:35:00 AM",3139.975,3137.895,3140.895,3136.245,3098.0,5,2024-05-06 03:35:00,22.43192457545471,BUY,3150.525
ETHEREUM,"May 6, 2024, 3:36:00 AM",3137.925,3136.975,3138.12,3136.19,3186.0,5,2024-05-06 03:36:00,21.30334309724303,HOLD,
ETHEREUM,"May 6, 2024, 3:37:00 AM",3136.835,3134.88,3136.835,3131.795,3198.0,5,2024-05-06 03:37:00,18.91907461601681,HOLD,
ETHEREUM,"May 6, 2024, 3:38:00 AM",3134.81,3135.72,3135.72,3132.13,3305.0,5,2024-05-06 03:38:00,22.733143929049987,HOLD,
ETHEREUM,"May 6, 2024, 3:39:00 AM",3135.825,3138.525,3138.67,3133.965,2957.0,5,2024-05-06 03:39:00,34.117002674382455,HOLD,
ETHEREUM,"May 6, 2024, 3:40:00 AM",3138.46,3139.695,3141.61,3138.46,3389.0,5,2024-05-06 03:40:00,38.28864459721564,HOLD,
ETHEREUM,"May 6, 2024, 3:41:00 AM",3139.48,3140.435,3140.44,3139.25,3354.0,5,2024-05-06 03:41:00,40.89248819842321,HOLD,
ETHEREUM,"May 6, 2024, 3:42:00 AM",3140.465,3141.77,3142.3,3140.465,3173.0,5,2024-05-06 03:42:00,45.45929644663563,HOLD,
ETHEREUM,"May 6, 2024, 3:43:00 AM",3141.855,3141.31,3143.025,3141.31,3579.0,5,2024-05-06 03:43:00,44.16591512781533,HOLD,
ETHEREUM,"May 6, 2024, 3:44:00 AM",3140.365,3141.44,3141.625,3139.755,3088.0,5,2024-05-06 03:44:00,44.6554201751461,HOLD,
ETHEREUM,"May 6, 2024, 3:45:00 AM",3141.35,3139.015,3141.35,3138.455,3238.0,5,2024-05-06 03:45:00,37.84694741311593,HOLD,
ETHEREUM,"May 6, 2024, 3:46:00 AM",3139.01,3139.395,3139.83,3137.73,3381.0,5,2024-05-06 03:46:00,39.4385560402798,HOLD,
ETHEREUM,"May 6, 2024, 3:47:00 AM",3139.705,3138.615,3139.79,3137.62,3282.0,5,2024-05-06 03:47:00,37.28286371453179,HOLD,
ETHEREUM,"May 6, 2024, 3:48:00 AM",3138.83,3142.59,3142.665,3138.83,3268.0,5,2024-05-06 03:48:00,51.9927110808079,HOLD,
ETHEREUM,"May 6, 2024, 3:49:00 AM",3142.54,3141.76,3142.54,3141.335,3212.0,5,2024-05-06 03:49:00,49.334982832448176,HOLD,
ETHEREUM,"May 6, 2024, 3:50:00 AM",3141.705,3140.255,3141.705,3138.84,3445.0,5,2024-05-06 03:50:00,44.77031336108102,HOLD,
ETHEREUM,"May 6, 2024, 3:51:00 AM",3140.165,3139.91,3140.165,3138.525,3258.0,5,2024-05-06 03:51:00,43.749600180299105,HOLD,
ETHEREUM,"May 6, 2024, 3:52:00 AM",3139.905,3140.115,3140.17,3138.795,3314.0,5,2024-05-06 03:52:00,44.57552895527583,HOLD,
ETHEREUM,"May 6, 2024, 3:53:00 AM",3140.135,3139.94,3140.365,3139.505,3338.0,5,2024-05-06 03:53:00,43.96929073057498,HOLD,
ETHEREUM,"May 6, 2024, 3:54:00 AM",3139.935,3140.24,3141.35,3139.07,3250.0,5,2024-05-06 03:54:00,45.37033305350941,HOLD,
ETHEREUM,"May 6, 2024, 3:55:00 AM",3140.18,3141.34,3141.375,3139.99,3255.0,5,2024-05-06 03:55:00,50.37515271889773,HOLD,
ETHEREUM,"May 6, 2024, 3:56:00 AM",3141.28,3138.855,3141.28,3138.595,3358.0,5,2024-05-06 03:56:00,41.033480413961335,HOLD,
ETHEREUM,"May 6, 2024, 3:57:00 AM",3138.795,3139.245,3139.245,3138.205,3179.0,5,2024-05-06 03:57:00,42.86267152627638,HOLD,
